building_id,event_id,start,end,pts,AE_mean,AE_max,AE_sum,thr_mean,thr_max,neg_AE_max,pos_AE_max,duration_h,type,severity_ratio_max,severity_ratio_mean
1151,14,2025-12-01 18:00:00+00:00,2025-12-01 18:45:00+00:00,4,8.474177893515943,12.007731056292485,33.89671157406377,6.970168846948218,10.462045401179896,12.007731056292485,5.161365397675851,1.0,OVER,1.1477422048788155,1.2157779932728936
1151,15,2025-12-04 02:30:00+00:00,2025-12-04 03:15:00+00:00,4,5.717756989989576,13.982470950051699,22.871027959958305,4.095612429728558,8.632825191971008,3.4007756417802852,13.982470950051699,1.0,OVER,1.619686561365351,1.3960688634711778
1151,16,2025-12-14 06:15:00+00:00,2025-12-14 07:00:00+00:00,4,4.926509239968297,6.309962950824378,19.706036959873188,4.00899566948244,5.768642285519583,6.309962950824378,4.559059925133596,1.0,OVER,1.0938384872058398,1.2288636970776046
1151,17,2025-12-19 22:30:00+00:00,2025-12-19 23:15:00+00:00,4,3.9408367496889287,5.15493515110316,15.763346998755715,3.405845601749521,4.636761837095272,5.15493515110316,3.6608219467357443,1.0,OVER,1.111753273558795,1.157080270363575
1411,1,2025-10-18 15:30:00+00:00,2025-10-18 16:15:00+00:00,4,3.026364968940893,5.592453569726942,12.105459875763572,2.433992490484708,4.129987564094398,5.592453569726942,0.0,1.0,OVER,1.354109057941734,1.2433748176183648
1411,2,2025-10-22 17:45:00+00:00,2025-10-22 18:45:00+00:00,5,4.693721514825126,9.291727429128233,23.468607574125627,3.946013557835033,7.115305705627577,0.0,9.291727429128233,1.25,OVER,1.3058788776677999,1.189484386211871
1411,3,2025-10-30 09:00:00+00:00,2025-10-30 09:45:00+00:00,4,19.48392644282248,29.19184859204914,77.93570577128992,14.948522070423223,24.954754238957072,19.67899941218961,29.19184859204914,1.0,OVER,1.169791067165771,1.303401523644461
1411,4,2025-11-05 22:45:00+00:00,2025-11-05 23:30:00+00:00,4,17.375824417942198,33.08713008513327,69.50329767176879,11.679144175238733,25.930923378454082,0.0,33.08713008513327,1.0,OVER,1.275971919789993,1.4877652126926517
1411,5,2025-11-08 04:30:00+00:00,2025-11-08 05:15:00+00:00,4,23.154746676234268,78.86120078261607,92.61898670493707,13.193371161548903,41.14509281808905,7.303726357726379,78.86120078261607,1.0,OVER,1.9166611467199193,1.7550288241504985
1411,6,2025-11-13 01:00:00+00:00,2025-11-13 01:45:00+00:00,4,2.482365829688267,3.212700952343736,9.929463318753069,2.1037812451061804,2.967503801635985,0.0,3.212700952343736,1.0,OVER,1.0826274091283636,1.1799543490858428
1411,7,2025-11-13 17:30:00+00:00,2025-11-13 18:15:00+00:00,4,3.2150643307196045,7.474716403599075,12.860257322878418,2.2205017095784068,4.86366332779646,1.1749092293248502,7.474716403599075,1.0,OVER,1.5368490579683243,1.447899957406486
1411,8,2025-11-22 01:00:00+00:00,2025-11-22 01:45:00+00:00,4,2.343967155798529,2.7941810875815634,9.375868623194116,2.054300094211522,2.7186458649249476,1.7157194544778491,2.7941810875815634,1.0,OVER,1.0277841346058145,1.141005232099834
